country,population,date,active_cases,cases_per_million,total_cases,deaths_per_million,total_deaths,tests_per_million,total_tests,CFR
Iceland,345393,2026-02-16,0,607731,209906,663,229,5780036,1996384,0.10909645269787428
Guadeloupe,399794,2026-02-16,0,508349,203235,2554,1021,2346306,938039,0.5023740989494919
El-Salvador,6550389,2026-02-16,18215,30816,201855,646,4230,398467,2610114,2.0955636471724755
Trinidad-and-Tobago,1406585,2026-02-16,28,136143,191496,3121,4390,649295,913289,2.2924760830513433
Maldives,540985,2026-02-16,22691,345100,186694,584,316,4092223,2213831,0.16926092964958703
Namibia,2633874,2026-02-16,1184,65451,172389,1559,4106,403460,1062663,2.381822506076374
Uganda,48432863,2026-02-16,68086,3554,172149,75,3632,62198,3012408,2.1098002311950697
Ghana,32395450,2026-02-16,2,5306,171889,45,1462,78456,2541625,0.8505489007440848
Jamaica,2985094,2026-02-16,0,52551,156869,1258,3756,396633,1183986,2.394354525113311
Cambodia,17168639,2026-02-16,3,8102,139103,178,3056,180062,3091420,2.196933207766907
Rwanda,13600464,2026-02-16,11,9817,133518,108,1468,442778,6021981,1.0994772240446982
Belarus,9432800,2026-02-16,1327,105381,994037,755,7118,1446722,13646641,0.7160699249625517
Venezuela,29266991,2026-02-16,302,18885,552695,200,5856,114771,3359014,1.0595355485394296
Kazakhstan,19205043,2026-02-16,14963,73514,1411831,721,13848,602707,11575012,0.9808539407336997
Ireland,5020199,2026-02-16,170,345521,1734582,1891,9491,2606161,13083449,0.5471635241228145
Pakistan,229488994,2026-02-16,12583,6893,1581936,134,30664,133292,30589153,1.9383843594178274
Finland,5554960,2026-02-16,170,272930,1516117,2153,11958,2179850,12108977,0.7887254083952624
Norway,5511370,2026-02-16,0,273930,1509732,1204,6638,1996315,11002430,0.43968068504873714
Lithuania,2661708,2026-02-16,431,525154,1397806,3718,9897,3959997,10540357,0.7080381683867433
Slovenia,2078034,2026-02-16,22,652803,1356546,3417,7100,1370382,2847701,0.5233880753030122
Bulgaria,6844597,2026-02-16,8159,195753,1339851,5661,38748,1705147,11671043,2.891963360104967
Croatia,4059286,2026-02-16,32609,322650,1309728,4604,18687,1394355,5660084,1.4267847980649417
Guatemala,18584039,2026-02-16,1113,69484,1291293,1092,20289,408622,7593848,1.571215827856265
